url;nombre_largo;sigla;grupo_portales;tipo_ambiente;ambiente_portal
https://www.gub.uy/intranet/ursea;Unidad Reguladora de Servicios de Energía y Agua - Intranet;URSEA;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/ursea;Unidad Reguladora de Servicios de Energía y Agua - Intranet;URSEA;Grupo 8;intranet;staging
https://www.gub.uy/ministerio-trabajo-seguridad-social;Ministerio de Trabajo y Seguridad Social;MTSS;Grupo 8;portal;produccion
https://www1.gub.uy/ministerio-trabajo-seguridad-social;Ministerio de Trabajo y Seguridad Social;MTSS;Grupo 8;portal;staging
https://www.gub.uy/ayuda;Portal de Ayuda gub.uy;AYUDA;Grupo Catálogos;catalogo;produccion
https://www1.gub.uy/ayuda;Portal de Ayuda gub.uy;AYUDA;Grupo Catálogos;catalogo;staging
https://www.gub.uy/catalogo-institucional;Catálogo Institucional;CI;Grupo Catálogos;catalogo;produccion
https://www1.gub.uy/catalogo-institucional;Catálogo Institucional;CI;Grupo Catálogos;catalogo;staging
https://www.gub.uy/catalogo-participacion-ciudadana;Catálogo de Participación Ciudadana;CPC;Grupo Catálogos;catalogo;produccion
https://www1.gub.uy/catalogo-participacion-ciudadana;Catálogo de Participación Ciudadana;CPC;Grupo Catálogos;catalogo;staging
https://www.gub.uy/tramites;Portal de Trámites;CT;Grupo Catálogos;catalogo;produccion
https://www1.gub.uy/tramites;Portal de Trámites;CT;Grupo Catálogos;catalogo;staging
https://www.gub.uy/agencia-monitoreo-evaluacion-politicas-publicas;Agencia de Monitoreo y Evaluación de Políticas Públicas;AGEV;Presidencia;portal;produccion
https://www1.gub.uy/agencia-monitoreo-evaluacion-politicas-publicas;Agencia de Monitoreo y Evaluación de Políticas Públicas;AGEV;Presidencia;portal;staging
https://www.gub.uy/presidencia;Presidencia de la República;PR;Presidencia;portal;produccion
https://www1.gub.uy/presidencia;Presidencia de la República;PR;Presidencia;portal;staging
